,TotUnder5,Hispanic,GroupQuarter,LEPspanHHs,TotPopBornOutUS,Renter_TOTAL,HH_SingleParent,HH_Renter_Crowded,Poverty_Less100,Poverty_Less200,Units_2Plus,NoInternet,CellularOnly,HHer15to34,clusters
1246,375,557,0,0,331,446,192,48,743,1490,88,128,314,285,3
1247,438,39,0,0,9,721,525,44,1501,2542,62,318,343,268,1
1248,393,28,59,0,313,1039,432,19,1762,2603,2284,612,321,465,1
1249,141,0,0,0,37,334,83,10,440,836,1286,213,69,129,1
1250,147,28,0,0,71,273,241,0,681,1544,74,407,125,42,4
1251,290,27,243,0,0,1273,428,0,1229,2383,1259,1017,128,488,1
1252,464,0,42,0,609,1785,521,109,2156,3808,1902,990,363,691,2
1253,202,32,9,0,13,449,262,10,962,1170,162,498,106,142,1
1254,195,13,6,0,0,769,341,40,1035,1837,846,467,184,235,1
1255,412,0,0,0,57,695,395,38,1385,2373,415,651,239,323,1
1256,247,0,0,0,0,512,337,7,1417,2370,6,587,116,74,1
1257,63,142,0,0,104,648,201,0,1191,2110,185,773,60,77,1
1258,400,53,0,0,543,1184,675,72,2634,4375,481,865,247,318,2
1259,263,0,0,0,77,430,165,21,759,1873,251,644,145,120,4
1260,178,0,0,0,0,300,349,0,882,1737,0,556,124,218,4
1261,449,360,0,26,141,624,427,16,1053,2660,164,700,130,379,1
1262,242,137,0,0,22,528,320,0,806,2314,43,774,149,105,1
1263,535,801,10,34,491,764,450,81,1638,2691,474,744,135,264,1
1264,478,498,0,97,526,798,356,39,736,2179,864,237,239,358,3
1265,326,5,26,0,0,1036,496,0,1432,4373,296,1453,112,270,1
1266,0,0,76,0,0,0,0,0,60,66,0,0,0,0,4
